2026-01-06 17:02:01,721 INFO    MainThread:22646 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-01-06 17:02:01,722 INFO    MainThread:22646 [wandb_setup.py:_flush():80] Configure stats pid to 22646
2026-01-06 17:02:01,722 INFO    MainThread:22646 [wandb_setup.py:_flush():80] Loading settings from /home/dongwoo38/.config/wandb/settings
2026-01-06 17:02:01,722 INFO    MainThread:22646 [wandb_setup.py:_flush():80] Loading settings from /home/dongwoo38/PiSSA/wandb/settings
2026-01-06 17:02:01,722 INFO    MainThread:22646 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-01-06 17:02:01,722 INFO    MainThread:22646 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /home/dongwoo38/PiSSA/wandb/run-20260106_170201-jtbkeluw/logs/debug.log
2026-01-06 17:02:01,722 INFO    MainThread:22646 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /home/dongwoo38/PiSSA/wandb/run-20260106_170201-jtbkeluw/logs/debug-internal.log
2026-01-06 17:02:01,722 INFO    MainThread:22646 [wandb_init.py:init():841] calling init triggers
2026-01-06 17:02:01,722 INFO    MainThread:22646 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'base_model': 'meta-llama/Llama-2-7b-hf', 'adapter_path': '/home/dongwoo38/PiSSA/output/conversation-LAVA-r128-B_int4-A_fp32-vib0.005-seed42/M-Llama-2-7b-hf_A-lava_B-int4_AD-fp32_R-128_VIB-0.005_S-42/checkpoint-8937/adapter_model', 'model_id': 'Qlora-r128-4bit', 'num_questions': 80, 'wandb_project': 'MT-Bench-Eval', 'wandb_name': 'lava-r128-4bit-eval', '_wandb': {}}
2026-01-06 17:02:01,722 INFO    MainThread:22646 [wandb_init.py:init():889] starting backend
2026-01-06 17:02:01,966 INFO    MainThread:22646 [wandb_init.py:init():892] sending inform_init request
2026-01-06 17:02:01,971 INFO    MainThread:22646 [wandb_init.py:init():900] backend started and connected
2026-01-06 17:02:01,973 INFO    MainThread:22646 [wandb_init.py:init():970] updated telemetry
2026-01-06 17:02:01,977 INFO    MainThread:22646 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-01-06 17:02:02,829 INFO    MainThread:22646 [wandb_init.py:init():1041] starting run threads in backend
2026-01-06 17:02:02,945 INFO    MainThread:22646 [wandb_run.py:_console_start():2521] atexit reg
2026-01-06 17:02:02,945 INFO    MainThread:22646 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-01-06 17:02:02,945 INFO    MainThread:22646 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-01-06 17:02:02,945 INFO    MainThread:22646 [wandb_run.py:_redirect():2461] Redirects installed.
2026-01-06 17:02:02,948 INFO    MainThread:22646 [wandb_init.py:init():1081] run started, returning control to user process
2026-01-06 18:02:54,563 INFO    MainThread:22646 [wandb_run.py:_finish():2287] finishing run DongwooYein/MT-Bench-Eval/jtbkeluw
2026-01-06 18:02:54,564 INFO    MainThread:22646 [wandb_run.py:_atexit_cleanup():2486] got exitcode: 0
2026-01-06 18:02:54,564 INFO    MainThread:22646 [wandb_run.py:_restore():2468] restore
2026-01-06 18:02:54,564 INFO    MainThread:22646 [wandb_run.py:_restore():2474] restore done
2026-01-06 18:02:55,714 INFO    MainThread:22646 [wandb_run.py:_footer_sync_info():3862] logging synced files
